Film ID,Film Title,Year of Release,Disability Represented,Category of Disability,Final Location,Final Location State,Final Location Country,Latitude,Longitude
24,Death Stranding,2019,Physical Disability,Physical Disabilities,Los Angeles,California,United States,60.10867,-113.64258
24,Death Stranding,2019,Physical Disability,Physical Disabilities,Anaheim,California,United States,45.5249263,-73.5219251
24,Death Stranding,2019,Physical Disability,Physical Disabilities,Malibu,California,United States,46.8137431,-71.2084061
25,The Raggedy Rawney,1988,Dyslexia,Cognitive & Intellectual Disabilities,Prague,,Czech Republic,46.8183175,-71.2143518
25,The Raggedy Rawney,1988,Dyslexia,Cognitive & Intellectual Disabilities,Czech Republic,,Czech Republic,34.0536909,-118.242766
26,Rainbow,1996,Dyslexia,Cognitive & Intellectual Disabilities,Ealing,England,United Kingdom,35.5934343,-105.2125529
26,Rainbow,1996,Dyslexia,Cognitive & Intellectual Disabilities,London,England,United Kingdom,36.1150488,-115.1729894
26,Rainbow,1996,Dyslexia,Cognitive & Intellectual Disabilities,England,England,United Kingdom,36.6005145,-83.6550209
27,The Street,2009,Parkinsons Disease,Neurological Disabilities,Manchester,England,United Kingdom,,
27,The Street,2009,Parkinsons Disease,Neurological Disabilities,Salford,Greater Manchester,United Kingdom,66.1655532,29.1514909
28,The Explosive Generation,1961,Dyslexia,Cognitive & Intellectual Disabilities,Mesa,Arizona,United States,52.510885,13.3989367
28,The Explosive Generation,1961,Dyslexia,Cognitive & Intellectual Disabilities,Arizona,Arizona,United States,52.5103817,13.4349112
28,The Explosive Generation,1961,Dyslexia,Cognitive & Intellectual Disabilities,Los Angeles,California,United States,51.5588032,-0.8697667
28,The Explosive Generation,1961,Dyslexia,Cognitive & Intellectual Disabilities,California,California,United States,51.5711327,-0.7668556
29,Excalibur,1981,Dyslexia,Cognitive & Intellectual Disabilities,Enniskerry,England,Ireland,51.531552,-0.8296587
29,Excalibur,1981,Dyslexia,Cognitive & Intellectual Disabilities,County Wicklow,,Ireland,41.9257913,-74.064054
29,Excalibur,1981,Dyslexia,Cognitive & Intellectual Disabilities,Ireland,,Ireland,,
29,Excalibur,1981,Dyslexia,Cognitive & Intellectual Disabilities,County Kerry,,Ireland,51.5074456,-0.1277653
29,Excalibur,1981,Dyslexia,Cognitive & Intellectual Disabilities,Roundwood,,Ireland,51.5004089,-0.128135
29,Excalibur,1981,Dyslexia,Cognitive & Intellectual Disabilities,County Tipperary,,Ireland,51.3444153,-0.9241809
30,The Emerald Forest,1985,Dyslexia,Cognitive & Intellectual Disabilities,TucuruÃ­,ParÃ¡,Brazil,51.8975256,-0.5318372
30,The Emerald Forest,1985,Dyslexia,Cognitive & Intellectual Disabilities,ParÃ¡,ParÃ¡,Brazil,,
30,The Emerald Forest,1985,Dyslexia,Cognitive & Intellectual Disabilities,Brazil,,Brazil,41.7442616,-73.1899379
30,The Emerald Forest,1985,Dyslexia,Cognitive & Intellectual Disabilities,Itatiaia,Rio de Janeiro,Brazil,45.1271847,-94.5280474
30,The Emerald Forest,1985,Dyslexia,Cognitive & Intellectual Disabilities,Rio de Janeiro,Rio de Janeiro,Brazil,51.7135573,-0.4503027
30,The Emerald Forest,1985,Dyslexia,Cognitive & Intellectual Disabilities,Spilsby,Lincolnshire,United Kingdom,,
30,The Emerald Forest,1985,Dyslexia,Cognitive & Intellectual Disabilities,Lincolnshire,Lincolnshire,United Kingdom,,
30,The Emerald Forest,1985,Dyslexia,Cognitive & Intellectual Disabilities,England,England,United Kingdom,52.1944695,-1.7163221
30,The Emerald Forest,1985,Dyslexia,Cognitive & Intellectual Disabilities,UK,,United Kingdom,51.5074456,-0.1277653
31,Hope and Glory,1987,Dyslexia,Cognitive & Intellectual Disabilities,London,England,United Kingdom,51.5004089,-0.128135
31,Hope and Glory,1987,Dyslexia,Cognitive & Intellectual Disabilities,Uxbridge,England,United Kingdom,51.5300157,0.0293091
31,Hope and Glory,1987,Dyslexia,Cognitive & Intellectual Disabilities,Saltdean,England,United Kingdom,34.0536909,-118.242766
31,Hope and Glory,1987,Dyslexia,Cognitive & Intellectual Disabilities,Shepperton,England,United Kingdom,33.8002599,-117.8817426
31,Hope and Glory,1987,Dyslexia,Cognitive & Intellectual Disabilities,Wisley,England,United Kingdom,34.0319521,-118.6884187
32,The Serpents Kiss,1997,Dyslexia,Cognitive & Intellectual Disabilities,Sixmilebridge,County Clare,Ireland,50.0874654,14.4212535
32,The Serpents Kiss,1997,Dyslexia,Cognitive & Intellectual Disabilities,County Clare,County Clare,Ireland,50.0596288,14.4464593
32,The Serpents Kiss,1997,Dyslexia,Cognitive & Intellectual Disabilities,Ireland,England,Ireland,49.7439047,15.3381061
33,Happythankyoumoreplease,2010,Alopecia,Chronic Illnesses & Conditions,New York City,New York,United States,51.5149803,-0.3004067
33,Happythankyoumoreplease,2010,Alopecia,Chronic Illnesses & Conditions,New York,New York,United States,51.5074456,-0.1277653
34,Idiocracy,2006,Intellectual Disability,Cognitive & Intellectual Disabilities,Washington,District of Columbia,United States,51.5004089,-0.128135
34,Idiocracy,2006,Intellectual Disability,Cognitive & Intellectual Disabilities,D.C.,District of Columbia,United States,51.5635091,-1.7933058
34,Idiocracy,2006,Intellectual Disability,Cognitive & Intellectual Disabilities,Austin,Texas,United States,53.4794892,-2.2451148
34,Idiocracy,2006,Intellectual Disability,Cognitive & Intellectual Disabilities,Texas,Texas,United States,53.4823545,-2.2567927
34,Idiocracy,2006,Intellectual Disability,Cognitive & Intellectual Disabilities,Round Rock,Texas,United States,53.7121251,-2.1001139
34,Idiocracy,2006,Intellectual Disability,Cognitive & Intellectual Disabilities,Pflugerville,Texas,United States,53.4877463,-2.2891921
35,Hit and Run,2012,Dyslexia,Cognitive & Intellectual Disabilities,Tustin,California,United States,33.4151931,-111.8297551
35,Hit and Run,2012,Dyslexia,Cognitive & Intellectual Disabilities,Santa Clarita,California,United States,33.4151005,-111.831455
35,Hit and Run,2012,Dyslexia,Cognitive & Intellectual Disabilities,California,California,United States,34.395342,-111.763275
36,Friends,1994,Dyslexia,Cognitive & Intellectual Disabilities,Burbank,California,United States,32.2356928,-110.951744
36,Friends,1994,Dyslexia,Cognitive & Intellectual Disabilities,New York City,New York,United States,34.0536909,-118.242766
37,The Rebel Billionaire: Bransons Quest for the Best,2004,Dyslexia and ADHD,Cognitive & Intellectual Disabilities,England,England,United Kingdom,34.625739,-118.0826393
37,The Rebel Billionaire: Bransons Quest for the Best,2004,Dyslexia and ADHD,Cognitive & Intellectual Disabilities,UK,,United Kingdom,36.728212,-120.666589
38,Believe Nothing,2009,Dyslexia,Cognitive & Intellectual Disabilities,,,,36.7014631,-118.755997
39,The Princess Guide,2010,Dyslexia,Cognitive & Intellectual Disabilities,,,,37.3543765,-122.051352
40,Superman Returns,2006,Dyslexia,Cognitive & Intellectual Disabilities,Los Angeles,California,United States,53.1927323,-6.1703572
40,Superman Returns,2006,Dyslexia,Cognitive & Intellectual Disabilities,Smallville,Kansas,United States,52.9581467,-6.3819707
41,Derek and Clive Get the Horn,1979,Dyslexia,Cognitive & Intellectual Disabilities,London,England,United Kingdom,52.865196,-7.9794599
42,London Dreams,2009,Dyslexia,Cognitive & Intellectual Disabilities,London,England,United Kingdom,52.1453345,-9.5174011
42,London Dreams,2009,Dyslexia,Cognitive & Intellectual Disabilities,Mumbai,Maharashtra,India,,
43,A Day in the Life,2011,Dyslexia,Cognitive & Intellectual Disabilities,,,,52.6848215,-7.8981472
44,The Colbert Report,2005,Dyslexia,Cognitive & Intellectual Disabilities,New York City,New York,United States,,
45,The Soup,2004,Dyslexia,Cognitive & Intellectual Disabilities,Los Angeles,California,United States,,
45,The Soup,2004,Dyslexia,Cognitive & Intellectual Disabilities,California,California,United States,-10.3333333,-53.2
46,Pride of Britain Awards,1999,Dyslexia,Cognitive & Intellectual Disabilities,London,England,United Kingdom,-22.4882967,-44.5612156
47,Losing My Virginity,1998,Dyslexia and ADHD,Cognitive & Intellectual Disabilities,,,,-22.9110137,-43.2093727
48,Highway to Heaven,1984,"Various disabilities are depicted throughout the series, including physical disabilities, mental health challenges, and chronic illnesses.",Various Disabilities,Tucson,Arizona,United States,53.1665524,0.1102604
48,Highway to Heaven,1984,"Various disabilities are depicted throughout the series, including physical disabilities, mental health challenges, and chronic illnesses.",Various Disabilities,Arizona,Arizona,United States,,
48,Highway to Heaven,1984,"Various disabilities are depicted throughout the series, including physical disabilities, mental health challenges, and chronic illnesses.",Various Disabilities,Simi Valley,California,United States,51.5635091,-1.7933058
48,Highway to Heaven,1984,"Various disabilities are depicted throughout the series, including physical disabilities, mental health challenges, and chronic illnesses.",Various Disabilities,California,California,United States,54.7023545,-3.2765753
48,Highway to Heaven,1984,"Various disabilities are depicted throughout the series, including physical disabilities, mental health challenges, and chronic illnesses.",Various Disabilities,Arivaca,Arizona,United States,51.5074456,-0.1277653
49,The Loneliest Runner,1976,"Bedwetting, a common childhood issue that can be linked to emotional distress.",,Los Angeles,California,United States,51.5004089,-0.128135
49,The Loneliest Runner,1976,"Bedwetting, a common childhood issue that can be linked to emotional distress.",,California,California,United States,51.546655,-0.4775114
50,Sweeney Todd: The Demon Barber of Fleet Street,2007,Dyslexia,Cognitive & Intellectual Disabilities,Iver Heath,Buckinghamshire,United Kingdom,44.1024769,-79.1286247
50,Sweeney Todd: The Demon Barber of Fleet Street,2007,Dyslexia,Cognitive & Intellectual Disabilities,Leavesden,Hertfordshire,United Kingdom,51.5449509,-0.4816672
51,Shark Tank,2009,Dyslexia,Cognitive & Intellectual Disabilities,Culver City,California,United States,50.8064619,-0.0416442
51,Shark Tank,2009,Dyslexia,Cognitive & Intellectual Disabilities,California,California,United States,51.3939186,-0.448674
51,Shark Tank,2009,Dyslexia,Cognitive & Intellectual Disabilities,USA,,United States,51.3202673,-0.4647286
52,The Adventures of Tom Thumb and Thumbelina,2002,Dwarfism,Physical Disabilities,,,,52.7380977,-8.7857729
53,Ghayal,1990,Physical Disability,Physical Disabilities,Mumbai,Maharashtra,India,52.8572575,-8.9374359
53,Ghayal,1990,Physical Disability,Physical Disabilities,Panvel,Maharashtra,India,52.865196,-7.9794599
54,Damini,1993,Physical Disability,Physical Disabilities,Mumbai,Maharashtra,India,40.7372329,-73.862477
55,Chup: Revenge of the Artist,2022,Hearing Loss,Physical Disabilities,Mumbai,Maharashtra,India,40.7127281,-74.0060152
55,Chup: Revenge of the Artist,2022,Hearing Loss,Physical Disabilities,Alibaug,Maharashtra,India,38.90739,-77.008937
56,Tiny Furniture,2010,Dyslexia,Cognitive & Intellectual Disabilities,New York City,New York,United States,40.8077558,-73.9616141
56,Tiny Furniture,2010,Dyslexia,Cognitive & Intellectual Disabilities,Brooklyn,New York,United States,40.7127281,-74.0060152
57,My Fair Lady,1964,Dyslexia,Cognitive & Intellectual Disabilities,Burbank,California,United States,40.7372329,-73.862477
57,My Fair Lady,1964,Dyslexia,Cognitive & Intellectual Disabilities,California,California,United States,38.8890042,-77.0408082
58,Malory Towers,2020,Dyslexia,Cognitive & Intellectual Disabilities,Hartland,New Brunswick,Canada,38.8898398,-77.0402691
59,Recount,2008,Dyslexia,Cognitive & Intellectual Disabilities,Jacksonville,Florida,United States,38.8939168,-77.0426534
59,Recount,2008,Dyslexia,Cognitive & Intellectual Disabilities,Florida,Florida,United States,38.8939168,-77.0426534
60,The Dropout,2022,Dyslexia,Cognitive & Intellectual Disabilities,Los Angeles,California,United States,38.8938474,-76.9880428
60,The Dropout,2022,Dyslexia,Cognitive & Intellectual Disabilities,California,California,United States,30.269586,-97.7569927
60,The Dropout,2022,Dyslexia,Cognitive & Intellectual Disabilities,Stanford,California,United States,30.2851494,-97.7339352
61,Keith Lemon: The Film,2012,Dyslexia,Cognitive & Intellectual Disabilities,London,England,United Kingdom,30.2711286,-97.7436995
61,Keith Lemon: The Film,2012,Dyslexia,Cognitive & Intellectual Disabilities,Leeds,England,United Kingdom,32.7563057,-97.0713679
62,Keeping Secrets,1991,Dyslexia,Cognitive & Intellectual Disabilities,Woodstock,New York,United States,37.785834,-122.290215
62,Keeping Secrets,1991,Dyslexia,Cognitive & Intellectual Disabilities,New York,New York,United States,30.3128485,-104.0188034
63,The Trials of Muhammad Ali,2013,Dyslexia,Cognitive & Intellectual Disabilities,Louisville,Kentucky,United States,26.150654,-97.830981
63,The Trials of Muhammad Ali,2013,Dyslexia,Cognitive & Intellectual Disabilities,United States,,United States,30.5088584,-97.6773449
64,Revengineers,2020,Autism,Neurological Disabilities,Brea,California,United States,30.502936,-97.682194
64,Revengineers,2020,Autism,Neurological Disabilities,California,California,United States,30.44059,-97.62268
64,Revengineers,2020,Autism,Neurological Disabilities,Sunnyvale,California,United States,30.4393696,-97.6200043
65,Scooby-Doo! WrestleMania Mystery,2014,Dyslexia,Cognitive & Intellectual Disabilities,WWE City,,,33.7079384,-117.8059916
66,Pecker,1998,Attention-Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Baltimore,Maryland,United States,34.4137196,-118.5250277
66,Pecker,1998,Attention-Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Maryland,Maryland,United States,34.625739,-118.0826393
67,True Lies,1994,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Miami,Florida,United States,36.728212,-120.666589
67,True Lies,1994,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Florida Keys,Florida,United States,36.7014631,-118.755997
67,True Lies,1994,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Los Angeles,California,United States,37.3543765,-122.051352
67,True Lies,1994,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Newport,Rhode Island,United States,34.1541437,-118.3372797
67,True Lies,1994,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Rhode Island,Rhode Island,United States,40.7372329,-73.862477
68,The Royal Tenenbaums,2001,Mental Health Disabilities,Mental Health Disabilities,New York City,New York,United States,40.7127281,-74.0060152
69,Thumbsucker,2005,Mental Health Disabilities,Mental Health Disabilities,Oregon,Oregon,United States,38.90739,-77.008937
69,Thumbsucker,2005,Mental Health Disabilities,Mental Health Disabilities,Tualatin,Oregon,United States,40.8077558,-73.9616141
69,Thumbsucker,2005,Mental Health Disabilities,Mental Health Disabilities,Portland,Oregon,United States,51.5635091,-1.7933058
69,Thumbsucker,2005,Mental Health Disabilities,Mental Health Disabilities,Sherwood,Oregon,United States,54.7023545,-3.2765753
70,Paranoid Park,2007,Mental Health Disabilities,Mental Health Disabilities,Portland,Oregon,United States,38.8939168,-77.0426534
70,Paranoid Park,2007,Mental Health Disabilities,Mental Health Disabilities,Oregon,Oregon,United States,38.8939168,-77.0426534
71,Heaven Adores You,2015,Mental Health Disabilities,Mental Health Disabilities,Portland,Oregon,United States,34.0536909,-118.242766
72,Thondimuthalum Driksakshiyum,2017,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Cherthala,Kerala,India,32.976452,-96.3274422
72,Thondimuthalum Driksakshiyum,2017,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Kasaragod,Kerala,India,51.5074456,-0.1277653
72,Thondimuthalum Driksakshiyum,2017,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Vaikom,Kerala,India,51.5004089,-0.128135
73,Njan Prakashan,2018,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Thrissur,Kerala,India,51.5074456,-0.1277653
73,Njan Prakashan,2018,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Kochi,Kerala,India,51.5004089,-0.128135
73,Njan Prakashan,2018,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Kerala,Kerala,India,19.0901528,72.8637135
74,Athiran,2019,Rare Genetic Disorder,Cognitive & Intellectual Disabilities,Ooty,Tamil Nadu,India,38.8939168,-77.0426534
75,Malik,2021,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,,,,40.7372329,-73.862477
76,Vikram,2022,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Karaikudi,Tamil Nadu,India,40.7127281,-74.0060152
76,Vikram,2022,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Tamil Nadu,Tamil Nadu,India,38.90739,-77.008937
76,Vikram,2022,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,India,Madhya Pradesh,India,40.8077558,-73.9616141
76,Vikram,2022,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Pondicherry,Puducherry,India,34.0536909,-118.242766
76,Vikram,2022,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Puducherry,Puducherry,India,34.625739,-118.0826393
76,Vikram,2022,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Coimbatore,Tamil Nadu,India,36.728212,-120.666589
76,Vikram,2022,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Chennai,Tamil Nadu,India,36.7014631,-118.755997
77,Pachuvum Athbutha Vilakkum,2023,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Kochi,Kerala,India,37.3543765,-122.051352
77,Pachuvum Athbutha Vilakkum,2023,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Palakkad,Kerala,India,51.5074456,-0.1277653
77,Pachuvum Athbutha Vilakkum,2023,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Goa,Goa,India,51.5004089,-0.128135
78,Maamannan,2023,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Chennai,Tamil Nadu,India,38.8939168,-77.0426534
79,Aavesham,2024,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Bangalore,Karnataka,India,32.2231264,-110.9667086
79,Aavesham,2024,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Tumkur,Karnataka,India,34.395342,-111.763275
80,Vettaiyan,2024,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Kanyakumari,Tamil Nadu,India,32.2356928,-110.951744
80,Vettaiyan,2024,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Chennai,Tamil Nadu,India,34.2701917,-118.6952338
80,Vettaiyan,2024,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Thiruvananthapuram,Kerala,India,34.625739,-118.0826393
80,Vettaiyan,2024,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Tirunelveli,Tamil Nadu,India,36.728212,-120.666589
80,Vettaiyan,2024,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Mumbai,Maharashtra,India,36.7014631,-118.755997
80,Vettaiyan,2024,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Hyderabad,Telangana,India,37.3543765,-122.051352
80,Vettaiyan,2024,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,Puducherry,Puducherry,India,,
81,Bougainvillea,2024,Attention Deficit Hyperactivity Disorder (ADHD),Neurological Disabilities,,,,34.0536909,-118.242766
